"","logFC","logCPM","LR","PValue","FDR","names","dir","symbol"
"ENSG00000160803.UBQLN4",-0.0637077828501175,3.63116661364193,0.235258607808463,0.627651769530685,0.996924660785995,"ENSG00000160803.UBQLN4","downr","UBQLN4"
"ENSG00000159459.UBR1",0.118293866987391,4.39548139916824,2.15640435366536,0.14197657976484,0.924386722597581,"ENSG00000159459.UBR1","upr","UBR1"
"ENSG00000024048.UBR2",-0.0994768139116086,3.3977113564823,0.884519633959575,0.346966769001381,0.988380300933635,"ENSG00000024048.UBR2","downr","UBR2"
"ENSG00000144357.UBR3",0.108738740828569,3.15377294709047,0.627168907735964,0.428395682694264,0.992705605531973,"ENSG00000144357.UBR3","upr","UBR3"
"ENSG00000127481.UBR4",-0.0464939241845742,5.17207971373896,0.331863112335011,0.564564074046665,0.996924660785995,"ENSG00000127481.UBR4","downr","UBR4"
"ENSG00000104517.UBR5",-0.113932100536256,3.93806059832162,1.68341360472365,0.194471481579678,0.953995547939457,"ENSG00000104517.UBR5","downr","UBR5"
"ENSG00000278787.UBR7",0.0856078913659944,4.21728016774251,1.2219781045628,0.268972797275925,0.986816411214075,"ENSG00000278787.UBR7","upr","UBR7"
"ENSG00000165886.UBTD1",0.0463771757377588,3.46235422607158,0.193238730949604,0.660234609683595,0.996924660785995,"ENSG00000165886.UBTD1","upr","UBTD1"
"ENSG00000168246.UBTD2",0.0408203150358715,4.70151691107144,0.261348133500753,0.609195478270891,0.996924660785995,"ENSG00000168246.UBTD2","upr","UBTD2"
"ENSG00000108312.UBTF",0.17877220993815,4.41022078522658,3.98399071302013,0.045934612293261,0.755011677701024,"ENSG00000108312.UBTF","upr","UBTF"
"ENSG00000162191.UBXN1",0.201215712542684,5.78389013843178,9.24205385922328,0.00236519519268394,0.197638488371341,"ENSG00000162191.UBXN1","upr","UBXN1"
"ENSG00000162543.UBXN10",-0.242082943314586,0.413801773107319,0.705603805797805,0.400907116366844,0.992705605531973,"ENSG00000162543.UBXN10","downr","UBXN10"
"ENSG00000158062.UBXN11",0.00127450057349265,3.55809076282107,0.000121717242123509,0.991197474271321,0.99875846683862,"ENSG00000158062.UBXN11","upr","UBXN11"
"ENSG00000173960.UBXN2A",0.162338743197519,3.85341803190587,2.68402327944602,0.101359357447374,0.875585542074737,"ENSG00000173960.UBXN2A","upr","UBXN2A"
"ENSG00000215114.UBXN2B",-0.261106514011828,5.04765707016261,10.4711469014437,0.0012125341856338,0.13855534867377,"ENSG00000215114.UBXN2B","downr","UBXN2B"
"ENSG00000144224.UBXN4",-0.0144456671099876,6.36927986573334,0.0387867879841597,0.843871661196848,0.996924660785995,"ENSG00000144224.UBXN4","downr","UBXN4"
"ENSG00000167671.UBXN6",0.203858438903489,3.73847563645388,3.76436670054331,0.0523556809183032,0.780083891716544,"ENSG00000167671.UBXN6","upr","UBXN6"
"ENSG00000163960.UBXN7",-0.143647178325709,3.97201656345061,1.93453502910768,0.164263142732919,0.93389164852893,"ENSG00000163960.UBXN7","downr","UBXN7"
"ENSG00000104691.UBXN8",0.154606316699183,2.57397302282151,1.36531410853929,0.242618619140231,0.985257441870808,"ENSG00000104691.UBXN8","upr","UBXN8"
"ENSG00000154277.UCHL1",0.00627784507107012,11.9985356328515,0.0101373927733839,0.919800820515829,0.996924660785995,"ENSG00000154277.UCHL1","upr","UCHL1"
"ENSG00000118939.UCHL3",0.0519997838914378,5.95265986979593,0.823048096508708,0.364290478740202,0.991943960031022,"ENSG00000118939.UCHL3","upr","UCHL3"
"ENSG00000116750.UCHL5",0.00838878254993855,5.68177159406993,0.0154110594463752,0.901203407695269,0.996924660785995,"ENSG00000116750.UCHL5","upr","UCHL5"
"ENSG00000130717.UCK1",0.2529670530628,4.03560401946173,9.01999015571858,0.00267042831357213,0.212707646862118,"ENSG00000130717.UCK1","upr","UCK1"
"ENSG00000143179.UCK2",-0.0591774920846232,4.88772919063603,0.700895125142035,0.40248308261003,0.992705605531973,"ENSG00000143179.UCK2","downr","UCK2"
"ENSG00000198276.UCKL1",-0.0399674126384139,4.43849329794645,0.259562332679113,0.610420997608358,0.996924660785995,"ENSG00000198276.UCKL1","downr","UCKL1"
"ENSG00000163794.UCN",0.275212095938556,-0.456215511381973,0.41236337814412,0.520772378909717,0.996924660785995,"ENSG00000163794.UCN","upr","UCN"
"ENSG00000175567.UCP2",-0.341215458188448,2.03696408972744,2.58575879824202,0.107828723126108,0.882159105672596,"ENSG00000175567.UCP2","downr","UCP2"
"ENSG00000151116.UEVLD",-0.126008199859723,2.61445881762244,0.629257794343211,0.427627690533483,0.992705605531973,"ENSG00000151116.UEVLD","downr","UEVLD"
"ENSG00000143222.UFC1",0.0267322888397097,7.14599172344897,0.208096413009562,0.648263524693235,0.996924660785995,"ENSG00000143222.UFC1","upr","UFC1"
"ENSG00000070010.UFD1",0.0655622334291028,6.89630174776958,1.2761749905354,0.258611444305012,0.986816411214075,"ENSG00000070010.UFD1","upr","UFD1"
"ENSG00000014123.UFL1",-0.0596379183060424,3.88823773070157,0.268356489998334,0.604436389321254,0.996924660785995,"ENSG00000014123.UFL1","downr","UFL1"
"ENSG00000120686.UFM1",0.0103116137576946,6.63056155374802,0.0326620911859452,0.856582206512102,0.996924660785995,"ENSG00000120686.UFM1","upr","UFM1"
"ENSG00000176125.UFSP1",0.0795637736307742,-0.115838439607823,0.0600669362860717,0.80639017626154,0.996924660785995,"ENSG00000176125.UFSP1","upr","UFSP1"
"ENSG00000109775.UFSP2",0.0160293474787494,5.37547853070993,0.0623324237905711,0.80284671897839,0.996924660785995,"ENSG00000109775.UFSP2","upr","UFSP2"
"ENSG00000148154.UGCG",-0.00833667541269018,5.24512606359548,0.0131275589446922,0.90878155242104,0.996924660785995,"ENSG00000148154.UGCG","downr","UGCG"
"ENSG00000109814.UGDH",-0.0443752654070036,4.4102036251701,0.289927654472919,0.590266894712049,0.996924660785995,"ENSG00000109814.UGDH","downr","UGDH"
"ENSG00000136731.UGGT1",-0.0282484150951699,3.06194382615396,0.0606576946872206,0.805459430921771,0.996924660785995,"ENSG00000136731.UGGT1","downr","UGGT1"
"ENSG00000102595.UGGT2",0.19243316167241,2.81510252182908,2.02744340640622,0.154480281815652,0.933107798708267,"ENSG00000102595.UGGT2","upr","UGGT2"
"ENSG00000169764.UGP2",-0.0356882781862155,5.56414063089623,0.263628463243824,0.607638238950095,0.996924660785995,"ENSG00000169764.UGP2","downr","UGP2"
"ENSG00000242515.UGT1A10",-0.456705158983209,-1.22457495701569,0.679553167731559,0.409740631659778,0.992705605531973,"ENSG00000242515.UGT1A10","downr","UGT1A10"
"ENSG00000167165.UGT1A6",1.9701479682849,-1.45443615717504,4.78776704436474,0.0286625613140986,0.661478856713266,"ENSG00000167165.UGT1A6","upr","UGT1A6"
"ENSG00000171234.UGT2B7",0.0380024359000156,-0.278121291074251,0.00970153609342006,0.921538149468079,0.996924660785995,"ENSG00000171234.UGT2B7","upr","UGT2B7"
"ENSG00000168671.UGT3A2",-0.15924582342132,0.888896638925434,0.314682130514589,0.574821154624877,0.996924660785995,"ENSG00000168671.UGT3A2","downr","UGT3A2"
"ENSG00000174607.UGT8",0.195913819261056,-0.299366693314415,0.267237974275041,0.605190609194991,0.996924660785995,"ENSG00000174607.UGT8","upr","UGT8"
"ENSG00000152332.UHMK1",0.0176433822504416,3.46838172152549,0.0191540923046123,0.88992563232129,0.996924660785995,"ENSG00000152332.UHMK1","upr","UHMK1"
"ENSG00000065060.UHRF1BP1",-0.0050554056966586,2.58904167914816,0.00133795747708287,0.97082140466654,0.997724049053892,"ENSG00000065060.UHRF1BP1","downr","UHRF1BP1"
"ENSG00000111647.UHRF1BP1L",0.193081344650887,3.02816291073729,2.40571731879639,0.120892698079439,0.89858538028035,"ENSG00000111647.UHRF1BP1L","upr","UHRF1BP1L"
"ENSG00000147854.UHRF2",0.0562240912499003,3.17169736468966,0.168672311760094,0.6812944716963,0.996924660785995,"ENSG00000147854.UHRF2","upr","UHRF2"
"ENSG00000087206.UIMC1",-0.0602353597597402,3.28438653419335,0.296997280430684,0.585771008627129,0.996924660785995,"ENSG00000087206.UIMC1","downr","UIMC1"
"ENSG00000111981.ULBP1",-0.0568618491802036,1.62568548593193,0.0597908850814655,0.806826760871972,0.996924660785995,"ENSG00000111981.ULBP1","downr","ULBP1"
"ENSG00000131015.ULBP2",-0.0378569486990381,4.92051573668624,0.204805487445068,0.650869638638551,0.996924660785995,"ENSG00000131015.ULBP2","downr","ULBP2"
"ENSG00000131019.ULBP3",0.097562635528256,5.36386285169836,1.41633264916087,0.234007975413843,0.98126724123953,"ENSG00000131019.ULBP3","upr","ULBP3"
"ENSG00000177169.ULK1",-0.154178094123229,2.72545270163453,1.03619789570191,0.308707392442122,0.986816411214075,"ENSG00000177169.ULK1","downr","ULK1"
"ENSG00000083290.ULK2",-0.0819002228778988,4.41909117290624,0.747059109422459,0.387408934431356,0.992705605531973,"ENSG00000083290.ULK2","downr","ULK2"
"ENSG00000140474.ULK3",-0.00933653885737171,4.66892085255439,0.0170931852453577,0.895980269500028,0.996924660785995,"ENSG00000140474.ULK3","downr","ULK3"
"ENSG00000168038.ULK4",-0.0496790605822395,1.17621065166302,0.0628212086838573,0.802091220507654,0.996924660785995,"ENSG00000168038.ULK4","downr","ULK4"
"ENSG00000261279.ULK4P1",0.297325879440915,2.97868790551391,2.05550664363582,0.151656801616223,0.931046446446434,"ENSG00000261279.ULK4P1","upr","ULK4P1"
"ENSG00000282689.ULK4P2",0.0296195295211153,1.53135889197352,0.00260346364591868,0.959306278545373,0.996924660785995,"ENSG00000282689.ULK4P2","upr","ULK4P2"
"ENSG00000282509.ULK4P3",-0.234406649724704,1.50487724286477,1.04339101304091,0.307034121384674,0.986816411214075,"ENSG00000282509.ULK4P3","downr","ULK4P3"
