"","TimePoint","Cond","DendriteArea","SomaArea","Count_MaskPSDbySYNdend","Count_MaskedNuclei","Count_MaskedRotSynbyPSDDend","SynapseCounts","Count_PSDMaskByDEND","Count_SynMaskByDend","FileName_MAP2","ImageNumber","Synapses_by_length","Math_RandomParticlesPerCell","Synapses_by_area","Synapses_by_Cell","Mean_IntegrIntensity_PSD95inDend","Mean_Intensity_PSD95inDend","Mean_IntegrIntensity_SyninDend","Mean_Intensity_SyninDend","CVS","Image","Length","Length_um","CVSi","DendriteArea_um2","Synapses_perArea_um2","Synapses_perLength_um","PSD_per_length_micron","PSD_per_area","PSD_per_area_um2","Syn_per_length_micron","Syn_per_area","Syn_per_area_um2","Differentiation","Day","Condition","Blinding","day","isEmpty","isEmpty2"
"473","F","5",69433,27831,54,1,0,51,94,134,"F_5_CS-R_1.tif",473,0.00760739856801909,0,0.000734521049068887,51,3.37915309685025,0.221284274964599,16.9479994230084,0.340219994738232,"CS-R","1.tif",6704,473.670451414158,"F_5_CS-R",346.617516090887,0.147136245666902,0.107669794152745,0.198450208830549,0.00135382311004854,0.271192295935074,0.282897106205251,0.00192991805049472,0.386593272928723,"p2","Day33","Empty","F_5",33,"p5","p7"
"474","F","5",59682,28014,18,1,1,20,39,95,"F_5_CS-R_2.tif",474,0.0044612982377872,1,0.000335109413223417,20,3.6994727867154,0.197579870154238,13.5453489366331,0.323046467163476,"CS-R","2.tif",4483,316.745917913137,"F_5_CS-R",297.939403386521,0.0671277440065681,0.0631420923488735,0.123127080080303,0.000653463355785664,0.130899100812808,0.299924938657149,0.00159176971281123,0.318856784031199,"p2","Day33","Empty","F_5",33,"p5","p7"
"475","F","5",78759,58936,33,2,1,32,77,106,"F_5_CS-R_3.tif",475,0.00514717709506193,0.5,0.000406302771746721,16,4.01473783962912,0.226067901896422,15.4666789043343,0.301182157774418,"CS-R","3.tif",6217,439.261514982372,"F_5_CS-R",393.173979949046,0.0813889057565484,0.07284954157954,0.175294209425768,0.000977666044515547,0.195842054476695,0.241314106482226,0.00134587793141101,0.269600750318567,"p2","Day33","Empty","F_5",33,"p5","p7"
"476","F","5",106296,35032,19,1,0,23,102,54,"F_5_CS-R_4.tif",476,0.00269541778975741,0,0.000216376909761421,23,2.78882875008618,0.187580896076796,16.8925067026306,0.521901772848873,"CS-R","4.tif",8533,602.8982640091,"F_5_CS-R",530.641848838404,0.0433437356106533,0.0381490566037736,0.169182772764561,0.000959584556333258,0.192220044882028,0.0895673502871206,0.000508015353352901,0.101763553172838,"p2","Day33","Empty","F_5",33,"p5","p7"
"477","F","5",83914,42302,23,1,1,21,90,101,"F_5_CS-R_5.tif",477,0.0034443168771527,1,0.000250256214695998,21,2.19425056998928,0.15839335416188,16.3129531680652,0.358462505494957,"CS-R","5.tif",6097,430.782926949899,"F_5_CS-R",418.908332424793,0.0501302991001502,0.0487484500574053,0.208921928817451,0.00107252663441142,0.214844139000644,0.234456831228473,0.00120361322306171,0.241102867100722,"p2","Day33","Empty","F_5",33,"p5","p7"
"478","F","5",32495,23800,15,1,0,15,31,64,"F_5_CS-R_6.tif",478,0.00503186850050319,0,0.000461609478381289,15,3.15204827775878,0.210041708818481,12.7699256588239,0.283529087904116,"CS-R","6.tif",2981,210.622257706683,"F_5_CS-R",162.218774723451,0.092467718521311,0.0712175444481718,0.147182925192888,0.000953992921987998,0.191099951610709,0.303861522978866,0.00196953377442684,0.394528932357594,"p2","Day33","Empty","F_5",33,"p5","p7"
"479","F","5",94778,34037,32,1,1,33,85,149,"F_5_CS-R_7.tif",479,0.00370079623191656,1,0.000348182067568423,33,2.81418640674914,0.189449147580314,15.4044124189039,0.392855935941439,"CS-R","7.tif",8917,630.029745713014,"F_5_CS-R",473.142669048753,0.0697464045387115,0.0523784793091847,0.134914264887294,0.000896832598282302,0.179649829872439,0.236496770214198,0.00157209478993015,0.314915584129334,"p2","Day33","Empty","F_5",33,"p5","p7"
"480","F","5",100024,32602,29,1,2,29,91,176,"F_5_CS-R_8.tif",480,0.00349523924309992,2,0.000289930416699992,29,2.38696728360194,0.180407912522499,22.2161509830674,0.383026469770976,"CS-R","8.tif",8297,586.223707545237,"F_5_CS-R",499.331303983334,0.058077672616672,0.049469169579366,0.155230842473183,0.000909781652403423,0.182243731314385,0.300226684343739,0.00175957770135168,0.352471392432216,"p2","Day33","Empty","F_5",33,"p5","p7"
"481","G","1",17566,27737,1,1,0,1,16,4,"G_1_CS-L_1.tif",481,0.00075187969924812,0,5.69281566662871e-05,1,2.12153715174645,0.160909916496541,13.9893071576953,0.533664252825493,"CS-L","1.tif",1330,93.971017359909,"G_1_CS-L",87.6914908998965,0.0114036149886144,0.0106415789473684,0.170265263157895,0.000910850506660594,0.18245783981783,0.0425663157894737,0.000227712626665149,0.0456144599544575,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
"482","G","1",25149,21746,0,1,0,0,23,3,"G_1_CS-L_2.tif",482,0,0,0,0,1.78567310617022,0.129317125021371,9.2539762655894,0.365408057224128,"CS-L","2.tif",1857,131.20614980252,"G_1_CS-L",125.546698431145,0,0,0.175296661281637,0.000914549286253927,0.183198764184262,0.0228647819063005,0.000119289037337469,0.0238954909805559,"p3","Day21","pLNA-181c","G_1",21,"p6","p8"
