"","TimePoint","Cond","ImageNumber","ObjectNumber","File","NumberBranchEnds","NumberNonTrunkBranches","NumberTrunks","TotalObjectSkeletonLength","CVS","Image","Differentiation","Day","Condition","Blinding","day","TotalLength_um","CVSi","Imagei","isEmpty","isEmpty2"
"65","A","1",1,65,"A_1_1_1",3,0,3,57.8406203389168,"1","1","p1","Day21","pLNA-1229","A_1",21,4.08672326163628,"A_1_1","A_1_1_1","p6","p8"
"66","A","1",1,66,"A_1_1_1",3,1,2,115.396971940994,"1","1","p1","Day21","pLNA-1229","A_1",21,8.15336154402113,"A_1_1","A_1_1_1","p6","p8"
"67","A","1",1,67,"A_1_1_1",5,0,5,83.8111843466759,"1","1","p1","Day21","pLNA-1229","A_1",21,5.92167087157595,"A_1_1","A_1_1_1","p6","p8"
"68","A","1",1,68,"A_1_1_1",4,2,2,187.793943226337,"1","1","p1","Day21","pLNA-1229","A_1",21,13.2685623300811,"A_1_1","A_1_1_1","p6","p8"
"69","A","1",1,69,"A_1_1_1",5,3,2,155.396971940994,"1","1","p1","Day21","pLNA-1229","A_1",21,10.9795575548455,"A_1_1","A_1_1_1","p6","p8"
"70","A","1",1,70,"A_1_1_1",3,1,2,135.296466231346,"1","1","p1","Day21","pLNA-1229","A_1",21,9.55935832854148,"A_1_1","A_1_1_1","p6","p8"
"71","A","1",1,71,"A_1_1_1",4,1,3,116.426408171654,"1","1","p1","Day21","pLNA-1229","A_1",21,8.22609625823333,"A_1_1","A_1_1_1","p6","p8"
"72","A","1",1,72,"A_1_1_1",3,1,2,94.6690493822098,"1","1","p1","Day21","pLNA-1229","A_1",21,6.68883224281332,"A_1_1","A_1_1_1","p6","p8"
"73","A","1",1,73,"A_1_1_1",5,2,3,125.982757985592,"1","1","p1","Day21","pLNA-1229","A_1",21,8.90129920128817,"A_1_1","A_1_1_1","p6","p8"
"74","A","1",1,74,"A_1_1_1",5,0,5,234.823379874229,"1","1","p1","Day21","pLNA-1229","A_1",21,16.5914224862208,"A_1_1","A_1_1_1","p6","p8"
"75","A","1",1,75,"A_1_1_1",2,0,2,79.870059132576,"1","1","p1","Day21","pLNA-1229","A_1",21,5.64321106261974,"A_1_1","A_1_1_1","p6","p8"
"76","A","1",1,76,"A_1_1_1",4,3,3,283.764506280422,"1","1","p1","Day21","pLNA-1229","A_1",21,20.0493528915816,"A_1_1","A_1_1_1","p6","p8"
"77","A","1",1,77,"A_1_1_1",2,0,2,84.2842730879784,"1","1","p1","Day21","pLNA-1229","A_1",21,5.95509690941182,"A_1_1","A_1_1_1","p6","p8"
"78","A","1",1,78,"A_1_1_1",2,0,2,67.9705638289452,"1","1","p1","Day21","pLNA-1229","A_1",21,4.80245340867113,"A_1_1","A_1_1_1","p6","p8"
"79","A","1",1,79,"A_1_1_1",4,1,3,127.597981214523,"1","1","p1","Day21","pLNA-1229","A_1",21,9.01542263744309,"A_1_1","A_1_1_1","p6","p8"
"80","A","1",1,80,"A_1_1_1",1,1,2,104.455845057964,"1","1","p1","Day21","pLNA-1229","A_1",21,7.38031731525258,"A_1_1","A_1_1_1","p6","p8"
"81","A","1",1,81,"A_1_1_1",2,0,2,107.639612734318,"1","1","p1","Day21","pLNA-1229","A_1",21,7.60526610291012,"A_1_1","A_1_1_1","p6","p8"
