"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","logCPM","LR","PValue","FDR"
"ENSG00000264023.ENSG00000264023",-0.0008717077314218,-0.000354073050401675,4.06432760574888,5.08639972012618,6.80782691011651,7.41640053320775,-3.42048891032847,154.134511757159,1.03298763462995e-30,2.3052392150731e-30
"ENSG00000212719.LINC02693",0.736480867121775,0.851091840645873,0.807087965262819,0.805439858643999,0.74138785958307,0.806366230137693,5.6593200025296,171.791276696489,1.87508827515121e-34,4.40039311346802e-34
"ENSG00000272780.NA",0.357037365229062,0.444345381872507,0.435152420535722,0.442149350061977,0.410317548653602,0.423821280578275,4.28604785835651,37.2277429092067,1.58972657811581e-06,2.13215319412056e-06
"ENSG00000263563.UBBP4",0.45142796580227,0.697312811792474,0.991332498782491,0.760950235252883,-0.0153901930253653,0.200429598600179,-2.99480229052675,3.85828560426127,0.695847207587466,0.704238738391976
"ENSG00000109046.WSB1",1.05691124422077,1.15162033418996,0.961225103506497,0.894539433174247,0.635376933743622,0.536157051873388,7.82215154602043,173.881571738855,6.75310164909973e-35,1.59591408555808e-34
"ENSG00000266313.ENSG00000266313",0.518692967782541,0.881727413571197,0.561881223329962,0.551804488591977,0.146347639513299,0.447405042807447,-2.13749862939939,5.02869942009681,0.540137508295911,0.551307428103013
"ENSG00000141068.KSR1",0.739487761827487,0.78218772097011,0.575611128867584,0.603144852609803,0.50173543097138,0.527868631057398,5.45081943115774,46.3405318409934,2.53254394762128e-08,3.59556037220668e-08
"ENSG00000265801.ENSG00000265801",-0.142571896338234,-0.250718946499016,-0.281535771234155,0.0689833833273098,0.438259599470522,-0.430793993181404,-2.77864917195843,3.09760222379038,0.796500830528302,0.802683993082842
"ENSG00000266728.ENSG00000266728",0.861151253100044,0.800968201605316,0.595188720857034,0.608218631924592,0.729955593783891,0.604020007992945,1.69511184934605,30.0369931174698,3.86769825589601e-05,4.92049709208902e-05
"ENSG00000168961.LGALS9",0.640734360686318,0.540267787355781,-0.0972696918369235,-0.216514217053511,-0.121881951784132,-0.377535526795832,-1.31971187810659,11.7970945398132,0.0666515058115774,0.0726691213137468
"ENSG00000007171.NOS2",-1.69490773239177,-2.00811237811668,-2.04394701915695,-1.96966760522607,-1.4136522959619,-1.18654371245229,0.926522044564018,235.394742622006,5.40211886001788e-48,1.50377275615307e-47
"ENSG00000266202.ENSG00000266202",0.86306445202911,0.744154969194653,0.782550382915922,1.12986996576642,1.58927311903404,1.93652426055968,-0.124927371737128,49.9462152440716,4.81923717259652e-09,6.99752339082886e-09
"ENSG00000232859.LYRM9",0.269441473075286,0.110719691543516,0.351213491155111,0.649304363975692,0.85168296316787,1.06263440019691,2.4317596202649,34.2717499609526,5.96141679218626e-06,7.81755740228561e-06
"ENSG00000087095.NLK",0.797376461543635,1.12552193089212,1.10410889445894,1.12801699106035,1.24716330638456,1.27785920929042,6.94553800917123,371.499188316194,3.72801826651052e-77,1.37274125118592e-76
"ENSG00000252283.ENSG00000252283",-3.52113674808987,-1.30329107391999,-2.86027740279333,-1.66562931769365,-3.0325044842507,-1.83153940982928,-4.08644388704957,17.1869981804125,0.0086200181555081,0.00986836085458568
"ENSG00000237575.PYY2",-0.35995860766943,0.685375862833383,0.445089613073538,0.450920070596487,0.391913786745443,0.36618184372885,-1.17978461409424,9.55979172054995,0.144456434568527,0.154061727423753
"ENSG00000266830.ENSG00000266830",-1.63032780614189,-1.91878498886092,-0.975483504480157,-0.382579223299215,1.18223192194285,1.54612192946168,-3.00336524880252,85.4623178979532,2.64772255124506e-16,4.58549781752245e-16
"ENSG00000260777.ENSG00000260777",-0.154210544675492,-0.22989485337333,-0.599003408115788,-1.11930188080591,0.0129753531233606,-0.427723176349097,-3.09545840486985,3.04769026981033,0.802837842642154,0.808841278409688
"ENSG00000265480.KRT18P55",0.450158041677785,0.505541010456684,-0.679434745199787,0.616684802758116,-1.2629873668501,0.274671049411066,-3.2875555473189,14.4901083950938,0.0246156846446148,0.0275194411198486
"ENSG00000109084.TMEM97",-1.88252490783929,-2.29650728448815,-2.13534276233032,-2.29193298532292,-2.4262991058659,-2.36909534019201,5.89893255195432,996.74675921756,4.51870332997276e-212,3.94634479676142e-211
"ENSG00000109083.IFT20",1.95164556656747,2.00807211818968,1.92010056242443,1.86144597329415,1.99753724396517,2.06422104237412,4.89858508745108,660.917362662498,1.67282671136108e-139,9.61605299369811e-139
"ENSG00000109079.TNFAIP1",2.57943137109646,2.37972636986925,2.48341049083946,2.68934894851268,2.45597600419519,2.58071151857735,6.26779161148234,790.867992940978,1.44714458839118e-167,9.86599531336164e-167
"ENSG00000004142.POLDIP2",-0.371283071632136,-0.43577122768801,-0.428374961383015,-0.341540186391426,-0.407096045062355,-0.296942643482436,6.04450191666056,53.6775536562579,8.56835884015547e-10,1.27145528422263e-09
