"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"P18077.RPL35A",-2.17289285553996,-2.52326700588395,-2.53513071903957,-2.44611677352212,-2.44480061942723,-2.34664457781464,15.7816406219875,1.40497007654987e-11,9.570342960978e-11,"RPL35A"
"P18084.ITGB5",-1.08423043938985,-1.39726657899742,-1.76728594017583,-1.57705634969407,-1.83743857457985,-1.72602751130117,17.1718964047884,7.74892236161633e-05,0.000124159087456222,"ITGB5"
"P18085.ARF4",0.482045328453956,0.431038396773297,0.409960013816984,0.64227300628282,0.557281800483356,0.603638986209003,18.4837184097226,0.0182326180336288,0.0214825208479169,"ARF4"
"P18124.RPL7",-1.56505178392812,-1.81872225626755,-1.75801097415676,-1.86129616290582,-2.0172555961592,-2.17026146063787,19.6037154943343,9.26954703716582e-15,2.45094390639837e-13,"RPL7"
"P18206.VCL",-1.87204580568345,-2.23516938154484,-2.17290219091115,-2.09080791684541,-1.9867911760754,-1.98961927114838,18.9036281257202,7.32851237559685e-15,2.07310494188281e-13,"VCL"
"P18433.PTPRA",0.252373148464293,0.625194066382768,0.953154317417255,0.730588581363259,0.652070804575813,0.834231953346323,14.4371232790809,0.000629457947924769,0.000893041740397866,"PTPRA"
"P18583.SON",-0.654994506406623,-0.930908137443743,-1.21234349987609,-1.38852614106196,-1.77174050013343,-1.90742259295655,14.5217662164336,4.40743532621168e-11,2.5652619984905e-10,"SON"
"P18615.NELFE",-0.64648172274088,-0.953336598871335,-0.819204791351935,-0.6145400029497,-0.652482759597944,-0.323765123709436,14.5453548006119,0.00444201417848138,0.00564112288731668,"NELFE"
"P18669.PGAM1",0.44273904469048,0.249641713426734,0.381851854404496,0.389410908506672,0.42696745410855,0.427657337448293,19.8204134751768,0.0777403128816767,0.0855087758822199,"PGAM1"
"P18754.RCC1",-1.35520947973402,-1.59536016484677,-2.11702472245586,-2.29665907647651,-2.46264658707486,-2.77495333362297,15.0893246494523,4.68179596372574e-13,5.55146621143736e-12,"RCC1"
"P18859.ATP5PF",0.83799565744066,0.248114967323516,0.723171258896358,1.16414569776256,1.71447387489477,1.40797998795089,15.0922933574608,0.000538842637764496,0.000771920081255729,"ATP5PF"
"P18887.XRCC1",-1.06955878318166,-1.19447710851224,-1.37026701693757,-1.49015484958759,-1.60763494392936,-1.62171876084143,15.7785382387123,1.64597620907759e-08,4.73263820790264e-08,"XRCC1"
"P19012.KRT15",0.153128616855721,1.5525525213666,0.630612928987181,0.830599557428545,-0.0332429357002118,0.308493326629757,16.2086170281327,0.134063859015145,0.144455369045261,"KRT15"
"P19013.KRT4",0.295747232507294,0.807906325970568,0.0503982136141494,1.08380846534643,0.71640729797665,0.124281713895425,12.9543908098649,0.651182141953518,0.660253234555468,"KRT4"
"P19086.GNAZ",2.54036819004692,3.25951550314898,3.519355669616,3.53081688122282,3.71744513273877,3.83830411604984,16.017690542516,3.80964369611509e-07,8.62897617602573e-07,"GNAZ"
"P19174.PLCG1",0.538511239026315,0.177303476414554,-0.173497821068844,-0.450416944833944,-0.644687190901007,-0.732500230738386,15.7279444296202,2.61116845240194e-08,7.24417526109627e-08,"PLCG1"
"P19367.HK1",1.99601165846993,2.61580425299318,2.84190534834703,3.22779801220122,3.43911036246608,3.63884392376757,20.5565081095648,1.78853031107081e-14,4.02295116497108e-13,"HK1"
"P19387.POLR2C",-0.937359759619206,-1.38604431601101,-1.58794142726517,-1.68952132824135,-2.23051172025581,-2.38094602645903,14.2479950913644,3.71208022885222e-07,8.42862100333147e-07,"POLR2C"
"P19532.TFE3",-0.365908552625454,0.138365357767178,0.419780623429296,0.922178953792864,1.45280279533425,1.10554998991746,13.5198116069241,0.0009612945620366,0.00132636127217744,"TFE3"
"P19623.SRM",-0.816831701048106,-0.934631842830212,-1.08138638049581,-1.32491244242474,-1.69334707172689,-1.96904787838627,17.3265061215607,1.23995593690131e-11,8.59083910079859e-11,"SRM"
"P19634.SLC9A1",-0.118543933162545,-0.060466586183564,-0.0722353928286874,0.185609285446889,0.533996734205391,0.745728684103865,13.0241692131765,0.000186394864092555,0.000283309697229369,"SLC9A1"
"P19784.CSNK2A2",-0.0261661749165176,-0.167463821942857,-0.0793222353292237,-0.190590271657041,-0.436506615459778,-0.53983810204664,16.3860364619267,0.000292828344192717,0.000434082840659135,"CSNK2A2"
"P20020.ATP2B1",3.35113135074785,3.7298992474591,4.02905840483482,4.35203373407603,4.66070126600463,4.91658987048108,18.4614622404651,1.8549199624986e-15,7.55734057677101e-14,"ATP2B1"
"P20042.EIF2S2",-1.07900542795257,-1.33362135583881,-1.39884470744246,-1.18938641650491,-1.35190950522808,-1.42731602135437,16.3361656767403,1.87269880035216e-08,5.33245838623355e-08,"EIF2S2"
"P20073.ANXA7",0.54520468941579,0.332471614284306,0.335311829326087,0.241684295789302,0.329046549570702,0.116219430146836,17.5732062143463,0.000439577250483431,0.000636188880391347,"ANXA7"
