"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","logCPM","LR","PValue","FDR"
"ENSG00000284129.MIR6789",-0.159475704262858,-0.0197890888555795,0.0519219943112229,-0.723175042576355,-0.530176578854502,-1.10842618807591,-1.65265380032554,10.7343075232508,0.0969433445494825,0.108847871802326
"ENSG00000104897.SF3A2",-0.622519535553767,-0.460514325802306,-0.74633160896638,-0.981270587744951,-1.06092822716036,-1.24853345167548,5.0399371028187,17.2266110994021,0.00848552160189816,0.0103379477419719
"ENSG00000104899.AMH",0.778176102265992,1.01218876052334,0.742366723935366,0.408715720202698,0.161453855282041,0.1013311064511,4.40363466114479,10.6707013819795,0.099102761409468,0.111144818495379
"ENSG00000284272.MIR4321",0.87993148219815,1.3742320762107,0.931216002879914,0.664945911114391,0.60005091038026,0.472703753154811,0.956621124021686,14.2328880104399,0.0271401496863778,0.0318904309490903
"ENSG00000167476.JSRP1",-1.00650287979873,-0.266809858537364,-0.596255171605279,-0.523746580432147,-0.859927142902621,-0.55852018175695,-1.67976190708816,4.15870194754379,0.655209489494984,0.674817202270741
"ENSG00000104904.OAZ1",-0.23836337081737,-0.168154332857348,-0.071884082403757,0.0463692355846128,-0.111900243814239,-0.0106099188150735,8.5262295133158,10.476481503788,0.105967852089722,0.118556980232787
"ENSG00000273734.ENSG00000273734",-0.476200349747593,-0.411883972774245,-0.32973690211945,-0.105488019912445,-0.387583597637723,-0.226605040445125,6.26954184495982,23.6240114525813,0.000612284233765683,0.000803263601148687
"ENSG00000220008.LINGO3",1.67722021156474,1.74253554695458,2.09938045727273,2.47375480142336,2.60174290794913,3.12423709205571,0.551596333250505,77.9707503149406,9.37369020876294e-15,1.87594617468321e-14
"ENSG00000130332.LSM7",-1.03022630805222,-1.04161512473853,-1.12026132620052,-0.989262700851578,-1.5503528695617,-1.47761604287318,5.18085885041824,135.043994678404,1.11247860285393e-26,2.91764507496624e-26
"ENSG00000005206.SPPL2B",-0.937835823355911,-0.889844625559122,-0.932859390033683,-0.89299974776754,-0.949496140155337,-0.942065303394404,5.18260505100377,14.2161025271082,0.0273131625145369,0.032086584374554
"ENSG00000178297.TMPRSS9",0.45280792398401,0.0227237732434897,-0.221757050735869,0.277896533269418,0.41523577810989,0.61931614186788,-0.648606608647529,11.1320305383719,0.0843805816081065,0.0953671096381738
"ENSG00000099800.TIMM13",-1.8485976541767,-1.87875493096677,-1.7442293112001,-1.61661308416635,-1.80416518712056,-1.78894341108388,5.47257374845364,486.130539847088,8.16739939865135e-102,5.4060893161033e-101
"ENSG00000176619.LMNB2",-2.36641393629637,-2.25638915429629,-2.25300789139254,-2.20465245820107,-2.46028096352241,-2.42170521353904,6.95973711884223,1738.62626570638,0,0
"ENSG00000099860.GADD45B",-0.124136750934397,0.549112841177981,2.24114893454153,3.0268085720492,2.31979155970167,2.51459636968222,3.00763536652254,154.143251431677,1.02859861877734e-30,2.90332738877945e-30
"ENSG00000176533.GNG7",0.811055565510473,1.11697794008213,1.30720177257015,1.50069465293757,1.80048876150246,1.9197278661272,4.07222533921731,368.644040617266,1.53038390055161e-76,7.92264048300859e-76
"ENSG00000176490.DIRAS1",1.37034197616599,1.56964853439862,1.80071860456846,2.25571201989775,2.32404221594798,2.66828831094978,6.25909326498594,952.71044199379,1.50734046957911e-202,2.13232938775347e-201
"ENSG00000267001.ENSG00000267001",0.245258291972901,0.194449074159609,0.199933567458051,0.383994446240924,0.454976249218389,0.672658179667515,3.38307190279808,29.84572819301,4.20537200881729e-05,5.88627206727557e-05
"ENSG00000261342.ENSG00000261342",1.23756761325747,1.48871942270718,1.46052958491989,1.36922368509239,1.66553142587461,1.81456727501833,2.50907125932982,126.066343976484,8.64822879894933e-25,2.18498560112812e-24
