"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"1","Mean3",34,0.0786501160983957,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",32,36,0.043517985067244,0.041667394100223,1.588,0.794,0.794,0.0425926895837335,2.04892472031829,13.498,12.704,14.292
"2","Mean1",16,0.110453426648083,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",15,19,0.0870792681118592,0.0982177278253907,1.588,0.397,1.191,0.092648497968625,0.417801157088053,6.352,5.955,7.543
"2","Mean1",27,0.0932831173452745,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",26,28,0.0824234156756918,0.0637051095756355,0.794,0.397,0.397,0.0730642626256636,0.474445084781201,10.719,10.322,11.116
"2","Mean1",31,0.0829690697191661,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",30,32,0.0711841285845616,0.0581240176744463,0.794,0.397,0.397,0.0646540731295039,0.429770144266456,12.307,11.91,12.704
"2","Mean1",5,0.152658580706385,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",4,6,0.127718632306278,0.120061682631002,0.794,0.397,0.397,0.12389015746864,0.675064794289003,1.985,1.588,2.382
"2","Mean2",15,0.106474923344511,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",14,18,0.0840550604577215,0.0765180177757059,1.588,0.397,1.191,0.0802865391167137,0.614522946405485,5.955,5.558,7.146
"2","Mean2",3,0.13636608151482,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",2,5,0.128392715188247,0.119965094108435,1.191,0.397,0.794,0.124178904648341,0.285977927130159,1.191,0.794,1.985
"2","Mean3",11,0.0998311713742862,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",10,13,0.0841708609201424,0.0689604073056751,1.191,0.397,0.794,0.0765656341129088,0.545936946059961,4.367,3.97,5.161
"2","Mean3",113,0.075062583025049,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",111,119,0.00700188939872653,0.00349829848265935,3.176,0.794,2.382,0.00525009394069294,1.63818340661441,44.861,44.067,47.243
"2","Mean3",138,0.119974172924969,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",136,142,0.000127018401790964,0.0226410301192385,2.382,0.794,1.588,0.0113840242605147,2.54811971320707,54.786,53.992,56.374
"2","Mean3",157,0.130950679813071,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",155,162,0.0125377747434493,0.00648852335815484,2.779,0.794,1.985,0.00951314905080206,2.84958967147835,62.329,61.535,64.314
"2","Mean3",18,0.132432561167299,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",17,24,0.0564649720294893,0.0578886366162297,2.779,0.397,2.382,0.0571768043228595,1.76591228491802,7.146,6.749,9.528
"2","Mean3",184,0.138381256317842,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",183,190,0.00645147632429912,0.00315958274455001,2.779,0.397,2.382,0.00480552953442456,3.1344182396741,73.048,72.651,75.43
"2","Mean3",326,0.119370835516462,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",324,332,0.00481082196783255,0.000211697336318224,3.176,0.794,2.382,0.00251125965207538,2.74216577285645,129.422,128.628,131.804
"2","Mean3",356,0.108987081170051,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #2_2_1.csv",354,360,0.000111141101567169,0.000931468279800455,2.382,0.794,1.588,0.000521304690683812,2.54520126046994,141.332,140.538,142.92
